From,To
Basomedial amygdalar nucleus,"Basomedial amygdalar nucleus, anterior part"
Basomedial amygdalar nucleus,"Basomedial amygdalar nucleus, posterior part"
Striatum dorsal region,Caudoputamen
Striatum ventral region,Nucleus accumbens
Striatum ventral region,Fundus of striatum
Striatum ventral region,Olfactory tubercle
Lateral septal complex,Lateral septal nucleus
Lateral septal complex,Septofimbrial nucleus
Lateral septal complex,Septohippocampal nucleus
Striatum-like amygdalar nuclei,Anterior amygdalar area
Striatum-like amygdalar nuclei,Bed nucleus of the accessory olfactory tract
Striatum-like amygdalar nuclei,Central amygdalar nucleus
Striatum-like amygdalar nuclei,Intercalated amygdalar nucleus
Striatum-like amygdalar nuclei,Medial amygdalar nucleus
"Pallidum, dorsal region","Globus pallidus, external segment"
"Pallidum, dorsal region","Globus pallidus, internal segment"
"Pallidum, ventral region",Substantia innominata
"Pallidum, ventral region",Magnocellular nucleus
"Pallidum, medial region",Medial septal complex
"Pallidum, medial region",Triangular nucleus of septum
"Pallidum, caudal region",Bed nuclei of the stria terminalis
"Pallidum, caudal region",Bed nucleus of the anterior commissure
"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus
"Thalamus, sensory-motor cortex related",Subparafascicular nucleus
"Thalamus, sensory-motor cortex related",Subparafascicular area
"Thalamus, sensory-motor cortex related",Peripeduncular nucleus
"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus"
"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus
"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus
"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus
"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus
"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus
"Thalamus, polymodal association cortex related",Reticular nucleus of the thalamus
"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus"
"Thalamus, polymodal association cortex related",Epithalamus
Periventricular zone,Supraoptic nucleus
Periventricular zone,Accessory supraoptic group
Periventricular zone,Paraventricular hypothalamic nucleus
Periventricular zone,"Periventricular hypothalamic nucleus, anterior part"
Periventricular zone,"Periventricular hypothalamic nucleus, intermediate part"
Periventricular zone,Arcuate hypothalamic nucleus
Periventricular region,Anterodorsal preoptic nucleus
Periventricular region,Anteroventral preoptic nucleus
Periventricular region,Anteroventral periventricular nucleus
Periventricular region,Dorsomedial nucleus of the hypothalamus
Periventricular region,Median preoptic nucleus
Periventricular region,Medial preoptic area
Periventricular region,Vascular organ of the lamina terminalis
Periventricular region,Posterodorsal preoptic nucleus
Periventricular region,Parastrial nucleus
Periventricular region,"Periventricular hypothalamic nucleus, posterior part"
Periventricular region,"Periventricular hypothalamic nucleus, preoptic part"
Periventricular region,Subparaventricular zone
Periventricular region,Suprachiasmatic nucleus
Periventricular region,Subfornical organ
Periventricular region,Ventromedial preoptic nucleus
Periventricular region,Ventrolateral preoptic nucleus
Hypothalamic medial zone,Anterior hypothalamic nucleus
Hypothalamic medial zone,Mammillary body
Hypothalamic medial zone,Medial preoptic nucleus
Hypothalamic medial zone,Dorsal premammillary nucleus
Hypothalamic medial zone,Ventral premammillary nucleus
Hypothalamic medial zone,"Paraventricular hypothalamic nucleus, descending division"
Hypothalamic medial zone,Ventromedial hypothalamic nucleus
Hypothalamic medial zone,Posterior hypothalamic nucleus
Hypothalamic lateral zone,Lateral hypothalamic area
Hypothalamic lateral zone,Lateral preoptic area
Hypothalamic lateral zone,Preparasubthalamic nucleus
Hypothalamic lateral zone,Parasubthalamic nucleus
Hypothalamic lateral zone,Perifornical nucleus
Hypothalamic lateral zone,Retrochiasmatic area
Hypothalamic lateral zone,Subthalamic nucleus
Hypothalamic lateral zone,Tuberal nucleus
Hypothalamic lateral zone,Zona incerta
"Superior colliculus, sensory related","Superior colliculus, optic layer"
"Superior colliculus, sensory related","Superior colliculus, superficial gray layer"
"Superior colliculus, sensory related","Superior colliculus, zonal layer"
Inferior colliculus,"Inferior colliculus, central nucleus"
Inferior colliculus,"Inferior colliculus, dorsal nucleus"
Inferior colliculus,"Inferior colliculus, external nucleus"
"Superior colliculus, motor related","Superior colliculus, motor related, deep gray layer"
"Superior colliculus, motor related","Superior colliculus, motor related, deep white layer"
"Superior colliculus, motor related","Superior colliculus, motor related, intermediate white layer"
"Superior colliculus, motor related","Superior colliculus, motor related, intermediate gray layer"
Periaqueductal gray,Precommissural nucleus
Periaqueductal gray,Interstitial nucleus of Cajal
Periaqueductal gray,Nucleus of Darkschewitsch
Periaqueductal gray,Supraoculomotor periaqueductal gray
Pretectal region,Anterior pretectal nucleus
Pretectal region,Medial pretectal area
Pretectal region,Nucleus of the optic tract
Pretectal region,Nucleus of the posterior commissure
Pretectal region,Olivary pretectal nucleus
Pretectal region,Posterior pretectal nucleus
Pretectal region,Retroparafascicular nucleus
Midbrain raphe nuclei,Interfascicular nucleus raphe
Midbrain raphe nuclei,Interpeduncular nucleus
Midbrain raphe nuclei,Rostral linear nucleus raphe
Midbrain raphe nuclei,Central linear nucleus raphe
Midbrain raphe nuclei,Dorsal nucleus raphe
"Pons, sensory related",Nucleus of the lateral lemniscus
"Pons, sensory related",Principal sensory nucleus of the trigeminal
"Pons, sensory related",Parabrachial nucleus
"Pons, sensory related",Superior olivary complex
"Pons, motor related",Barrington's nucleus
"Pons, motor related",Dorsal tegmental nucleus
"Pons, motor related",Posterodorsal tegmental nucleus
"Pons, motor related",Pontine central gray
"Pons, motor related",Pontine gray
"Pons, motor related","Pontine reticular nucleus, caudal part"
"Pons, motor related",Supragenual nucleus
"Pons, motor related",Supratrigeminal nucleus
"Pons, motor related",Tegmental reticular nucleus
"Pons, motor related",Motor nucleus of trigeminal
"Pons, motor related",Peritrigeminal zone
"Pons, motor related",Accessory trigeminal nucleus
"Pons, motor related",Parvicellular motor 5 nucleus
"Pons, motor related",Intertrigeminal nucleus
"Pons, behavioral state related",Superior central nucleus raphe
"Pons, behavioral state related",Locus ceruleus
"Pons, behavioral state related",Laterodorsal tegmental nucleus
"Pons, behavioral state related",Nucleus incertus
"Pons, behavioral state related",Pontine reticular nucleus
"Pons, behavioral state related",Nucleus raphe pontis
"Pons, behavioral state related",Subceruleus nucleus
"Pons, behavioral state related",Sublaterodorsal nucleus
"Medulla, sensory related",Area postrema
"Medulla, sensory related",Cochlear nuclei
"Medulla, sensory related",Dorsal column nuclei
"Medulla, sensory related",External cuneate nucleus
"Medulla, sensory related",Nucleus of the trapezoid body
"Medulla, sensory related",Nucleus of the solitary tract
"Medulla, sensory related","Spinal nucleus of the trigeminal, caudal part"
"Medulla, sensory related","Spinal nucleus of the trigeminal, interpolar part"
"Medulla, sensory related","Spinal nucleus of the trigeminal, oral part"
"Medulla, sensory related",Paratrigeminal nucleus
"Medulla, motor related",Abducens nucleus
"Medulla, motor related",Facial motor nucleus
"Medulla, motor related",Accessory facial motor nucleus
"Medulla, motor related",Nucleus ambiguus
"Medulla, motor related",Dorsal motor nucleus of the vagus nerve
"Medulla, motor related",Gigantocellular reticular nucleus
"Medulla, motor related",Infracerebellar nucleus
"Medulla, motor related",Inferior olivary complex
"Medulla, motor related",Intermediate reticular nucleus
"Medulla, motor related",Inferior salivatory nucleus
"Medulla, motor related",Linear nucleus of the medulla
"Medulla, motor related",Lateral reticular nucleus
"Medulla, motor related",Magnocellular reticular nucleus
"Medulla, motor related",Medullary reticular nucleus
"Medulla, motor related",Parvicellular reticular nucleus
"Medulla, motor related",Parasolitary nucleus
"Medulla, motor related",Paragigantocellular reticular nucleus
"Medulla, motor related",Perihypoglossal nuclei
"Medulla, motor related",Parapyramidal nucleus
"Medulla, motor related",Vestibular nuclei
"Medulla, motor related",Nucleus x
"Medulla, motor related",Hypoglossal nucleus
"Medulla, motor related",Nucleus y
"Medulla, behavioral state related",Nucleus raphe magnus
"Medulla, behavioral state related",Nucleus raphe pallidus
"Medulla, behavioral state related",Nucleus raphe obscurus
Central lobule,Lobule II
Central lobule,Lobule III
Culmen,Lobules IV-V
Ansiform lobule,Crus 1
Ansiform lobule,Crus 2
dorsal column,cuneate fascicle
postcommissural fornix,medial corticohypothalamic tract
postcommissural fornix,columns of the fornix
hippocampal commissures,dorsal hippocampal commissure
hippocampal commissures,ventral hippocampal commissure
"Frontal pole, cerebral cortex","Frontal pole, layer 1"
"Frontal pole, cerebral cortex","Frontal pole, layer 2/3"
"Frontal pole, cerebral cortex","Frontal pole, layer 5"
"Frontal pole, cerebral cortex","Frontal pole, layer 6a"
"Frontal pole, cerebral cortex","Frontal pole, layer 6b"
Somatomotor areas,Primary motor area
Somatomotor areas,Secondary motor area
Somatosensory areas,Primary somatosensory area
Somatosensory areas,Supplemental somatosensory area
Gustatory areas,"Gustatory areas, layer 1"
Gustatory areas,"Gustatory areas, layer 2/3"
Gustatory areas,"Gustatory areas, layer 4"
Gustatory areas,"Gustatory areas, layer 5"
Gustatory areas,"Gustatory areas, layer 6a"
Gustatory areas,"Gustatory areas, layer 6b"
Visceral area,"Visceral area, layer 1"
Visceral area,"Visceral area, layer 2/3"
Visceral area,"Visceral area, layer 4"
Visceral area,"Visceral area, layer 5"
Visceral area,"Visceral area, layer 6a"
Visceral area,"Visceral area, layer 6b"
Auditory areas,Dorsal auditory area
Auditory areas,Primary auditory area
Auditory areas,Posterior auditory area
Auditory areas,Ventral auditory area
Visual areas,Anterolateral visual area
Visual areas,Anteromedial visual area
Visual areas,Lateral visual area
Visual areas,Primary visual area
Visual areas,Posterolateral visual area
Visual areas,posteromedial visual area
Visual areas,Laterointermediate area
Visual areas,Postrhinal area
Anterior cingulate area,"Anterior cingulate area, dorsal part"
Anterior cingulate area,"Anterior cingulate area, ventral part"
Prelimbic area,"Prelimbic area, layer 1"
Prelimbic area,"Prelimbic area, layer 2/3"
Prelimbic area,"Prelimbic area, layer 5"
Prelimbic area,"Prelimbic area, layer 6a"
Prelimbic area,"Prelimbic area, layer 6b"
Infralimbic area,"Infralimbic area, layer 1"
Infralimbic area,"Infralimbic area, layer 2/3"
Infralimbic area,"Infralimbic area, layer 5"
Infralimbic area,"Infralimbic area, layer 6a"
Infralimbic area,"Infralimbic area, layer 6b"
Orbital area,"Orbital area, lateral part"
Orbital area,"Orbital area, medial part"
Orbital area,"Orbital area, ventrolateral part"
Agranular insular area,"Agranular insular area, dorsal part"
Agranular insular area,"Agranular insular area, posterior part"
Agranular insular area,"Agranular insular area, ventral part"
Retrosplenial area,"Retrosplenial area, lateral agranular part"
Retrosplenial area,"Retrosplenial area, dorsal part"
Retrosplenial area,"Retrosplenial area, ventral part"
Posterior parietal association areas,Anterior area
Posterior parietal association areas,Rostrolateral visual area
Temporal association areas,"Temporal association areas, layer 1"
Temporal association areas,"Temporal association areas, layer 2/3"
Temporal association areas,"Temporal association areas, layer 4"
Temporal association areas,"Temporal association areas, layer 5"
Temporal association areas,"Temporal association areas, layer 6a"
Temporal association areas,"Temporal association areas, layer 6b"
Perirhinal area,"Perirhinal area, layer 6a"
Perirhinal area,"Perirhinal area, layer 6b"
Perirhinal area,"Perirhinal area, layer 1"
Perirhinal area,"Perirhinal area, layer 5"
Perirhinal area,"Perirhinal area, layer 2/3"
Ectorhinal area,Ectorhinal area/Layer 1
Ectorhinal area,Ectorhinal area/Layer 2/3
Ectorhinal area,Ectorhinal area/Layer 5
Ectorhinal area,Ectorhinal area/Layer 6a
Ectorhinal area,Ectorhinal area/Layer 6b
Accessory olfactory bulb,"Accessory olfactory bulb, glomerular layer"
Accessory olfactory bulb,"Accessory olfactory bulb, granular layer"
Accessory olfactory bulb,"Accessory olfactory bulb, mitral layer"
Taenia tecta,"Taenia tecta, dorsal part"
Taenia tecta,"Taenia tecta, ventral part"
Nucleus of the lateral olfactory tract,"Nucleus of the lateral olfactory tract, molecular layer"
Nucleus of the lateral olfactory tract,"Nucleus of the lateral olfactory tract, pyramidal layer"
Nucleus of the lateral olfactory tract,"Nucleus of the lateral olfactory tract, layer 3"
Cortical amygdalar area,"Cortical amygdalar area, anterior part"
Cortical amygdalar area,"Cortical amygdalar area, posterior part"
Hippocampal region,Ammon's horn
Hippocampal region,Dentate gyrus
Hippocampal region,Fasciola cinerea
Hippocampal region,Induseum griseum
Retrohippocampal region,Entorhinal area
Retrohippocampal region,Parasubiculum
Retrohippocampal region,Postsubiculum
Retrohippocampal region,Presubiculum
Retrohippocampal region,Subiculum
Retrohippocampal region,Prosubiculum
Retrohippocampal region,Hippocampo-amygdalar transition area
Retrohippocampal region,Area prostriata
Lateral septal nucleus,"Lateral septal nucleus, caudal (caudodorsal) part"
Lateral septal nucleus,"Lateral septal nucleus, rostral (rostroventral) part"
Lateral septal nucleus,"Lateral septal nucleus, ventral part"
Central amygdalar nucleus,"Central amygdalar nucleus, capsular part"
Central amygdalar nucleus,"Central amygdalar nucleus, lateral part"
Central amygdalar nucleus,"Central amygdalar nucleus, medial part"
Medial septal complex,Medial septal nucleus
Medial septal complex,Diagonal band nucleus
Ventral group of the dorsal thalamus,Ventral anterior-lateral complex of the thalamus
Ventral group of the dorsal thalamus,Ventral medial nucleus of the thalamus
Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus
Ventral group of the dorsal thalamus,Posterior triangular thalamic nucleus
Subparafascicular nucleus,"Subparafascicular nucleus, magnocellular part"
Subparafascicular nucleus,"Subparafascicular nucleus, parvicellular part"
"Geniculate group, dorsal thalamus",Medial geniculate complex
"Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex
Lateral group of the dorsal thalamus,Lateral posterior nucleus of the thalamus
Lateral group of the dorsal thalamus,Posterior complex of the thalamus
Lateral group of the dorsal thalamus,Posterior limiting nucleus of the thalamus
Lateral group of the dorsal thalamus,Suprageniculate nucleus
Lateral group of the dorsal thalamus,Ethmoid nucleus of the thalamus
Anterior group of the dorsal thalamus,Anteroventral nucleus of thalamus
Anterior group of the dorsal thalamus,Anteromedial nucleus
Anterior group of the dorsal thalamus,Anterodorsal nucleus
Anterior group of the dorsal thalamus,Interanteromedial nucleus of the thalamus
Anterior group of the dorsal thalamus,Interanterodorsal nucleus of the thalamus
Anterior group of the dorsal thalamus,Lateral dorsal nucleus of thalamus
Medial group of the dorsal thalamus,Intermediodorsal nucleus of the thalamus
Medial group of the dorsal thalamus,Mediodorsal nucleus of thalamus
Medial group of the dorsal thalamus,Submedial nucleus of the thalamus
Medial group of the dorsal thalamus,Perireunensis nucleus
Midline group of the dorsal thalamus,Paraventricular nucleus of the thalamus
Midline group of the dorsal thalamus,Parataenial nucleus
Midline group of the dorsal thalamus,Nucleus of reuniens
Midline group of the dorsal thalamus,Xiphoid thalamic nucleus
Intralaminar nuclei of the dorsal thalamus,Rhomboid nucleus
Intralaminar nuclei of the dorsal thalamus,Central medial nucleus of the thalamus
Intralaminar nuclei of the dorsal thalamus,Paracentral nucleus
Intralaminar nuclei of the dorsal thalamus,Central lateral nucleus of the thalamus
Intralaminar nuclei of the dorsal thalamus,Parafascicular nucleus
Intralaminar nuclei of the dorsal thalamus,Posterior intralaminar thalamic nucleus
"Geniculate group, ventral thalamus",Intergeniculate leaflet of the lateral geniculate complex
"Geniculate group, ventral thalamus",Intermediate geniculate nucleus
"Geniculate group, ventral thalamus",Ventral part of the lateral geniculate complex
"Geniculate group, ventral thalamus",Subgeniculate nucleus
Epithalamus,Medial habenula
Epithalamus,Lateral habenula
Mammillary body,Lateral mammillary nucleus
Mammillary body,Medial mammillary nucleus
Mammillary body,Supramammillary nucleus
Mammillary body,Tuberomammillary nucleus
Zona incerta,Fields of Forel
Interpeduncular nucleus,"Interpeduncular nucleus, rostral"
Interpeduncular nucleus,"Interpeduncular nucleus, caudal"
Interpeduncular nucleus,"Interpeduncular nucleus, apical"
Interpeduncular nucleus,"Interpeduncular nucleus, lateral"
Interpeduncular nucleus,"Interpeduncular nucleus, intermediate"
Interpeduncular nucleus,"Interpeduncular nucleus, dorsomedial"
Interpeduncular nucleus,"Interpeduncular nucleus, dorsolateral"
Interpeduncular nucleus,"Interpeduncular nucleus, rostrolateral"
Parabrachial nucleus,Koelliker-Fuse subnucleus
Superior olivary complex,"Superior olivary complex, periolivary region"
Superior olivary complex,"Superior olivary complex, medial part"
Superior olivary complex,"Superior olivary complex, lateral part"
Cochlear nuclei,Dorsal cochlear nucleus
Cochlear nuclei,Ventral cochlear nucleus
Dorsal column nuclei,Cuneate nucleus
Dorsal column nuclei,Gracile nucleus
Nucleus ambiguus,"Nucleus ambiguus, dorsal division"
Nucleus ambiguus,"Nucleus ambiguus, ventral division"
Lateral reticular nucleus,"Lateral reticular nucleus, magnocellular part"
Lateral reticular nucleus,"Lateral reticular nucleus, parvicellular part"
Medullary reticular nucleus,"Medullary reticular nucleus, dorsal part"
Medullary reticular nucleus,"Medullary reticular nucleus, ventral part"
Paragigantocellular reticular nucleus,"Paragigantocellular reticular nucleus, dorsal part"
Paragigantocellular reticular nucleus,"Paragigantocellular reticular nucleus, lateral part"
Perihypoglossal nuclei,Nucleus of Roller
Perihypoglossal nuclei,Nucleus prepositus
Vestibular nuclei,Lateral vestibular nucleus
Vestibular nuclei,Medial vestibular nucleus
Vestibular nuclei,Spinal vestibular nucleus
Vestibular nuclei,Superior vestibular nucleus
Primary motor area,"Primary motor area, Layer 1"
Primary motor area,"Primary motor area, Layer 2/3"
Primary motor area,"Primary motor area, Layer 5"
Primary motor area,"Primary motor area, Layer 6a"
Primary motor area,"Primary motor area, Layer 6b"
Secondary motor area,"Secondary motor area, layer 1"
Secondary motor area,"Secondary motor area, layer 2/3"
Secondary motor area,"Secondary motor area, layer 5"
Secondary motor area,"Secondary motor area, layer 6a"
Secondary motor area,"Secondary motor area, layer 6b"
Primary somatosensory area,"Primary somatosensory area, nose"
Primary somatosensory area,"Primary somatosensory area, barrel field"
Primary somatosensory area,"Primary somatosensory area, lower limb"
Primary somatosensory area,"Primary somatosensory area, mouth"
Primary somatosensory area,"Primary somatosensory area, upper limb"
Primary somatosensory area,"Primary somatosensory area, trunk"
Primary somatosensory area,"Primary somatosensory area, unassigned"
Supplemental somatosensory area,"Supplemental somatosensory area, layer 1"
Supplemental somatosensory area,"Supplemental somatosensory area, layer 2/3"
Supplemental somatosensory area,"Supplemental somatosensory area, layer 4"
Supplemental somatosensory area,"Supplemental somatosensory area, layer 5"
Supplemental somatosensory area,"Supplemental somatosensory area, layer 6a"
Supplemental somatosensory area,"Supplemental somatosensory area, layer 6b"
Dorsal auditory area,"Dorsal auditory area, layer 1"
Dorsal auditory area,"Dorsal auditory area, layer 2/3"
Dorsal auditory area,"Dorsal auditory area, layer 4"
Dorsal auditory area,"Dorsal auditory area, layer 5"
Dorsal auditory area,"Dorsal auditory area, layer 6a"
